dateutc,tempinf,humidityin,baromrelin,baromabsin,tempf,battout,humidity,winddir,windspeedmph,windgustmph,maxdailygust,hourlyrainin,eventrainin,dailyrainin,weeklyrainin,monthlyrainin,totalrainin,solarradiation,uv,batt_co2,feelsLike,dewPoint,feelsLikein,dewPointin,lastRain,tz,date
1634545680000,30.27777777777778,67,758.6218,756.4627999999999,27.111111111111107,1,87,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,55.05,0,1,30.861111111111107,24.75555555555556,34.94444444444445,23.444444444444446,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:28:00
1634545740000,30.27777777777778,68,758.5455999999999,756.3865999999999,27.111111111111107,1,87,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,55.41,0,1,30.861111111111107,24.75555555555556,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:29:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634615100000,30.27777777777778,69,762.0,759.8409999999999,32.72222222222222,1,63,181,0.0,0.0,0.983488,0.0,8.3058,2.794,8.3058,64.9986,202.8952,905.29,8,1,39.87777777777778,24.73333333333333,35.44444444444444,23.94444444444444,2021-10-18 16:21:00,Asia/Singapore,2021-10-19 11:45:00
1634615100000,30.27777777777778,69,762.0,759.8409999999999,32.72222222222222,1,63,181,0.0,0.0,0.983488,0.0,8.3058,2.794,8.3058,64.9986,202.8952,905.29,8,1,39.87777777777778,24.73333333333333,35.44444444444444,23.94444444444444,2021-10-18 16:21:00,Asia/Singapore,2021-10-19 11:45:00
1634615160000,30.27777777777778,69,762.0762,759.9172,32.77777777777778,1,64,154,0.0,0.0,0.983488,0.0,8.3058,2.794,8.3058,64.9986,202.8952,917.03,8,1,40.39444444444444,25.05,35.44444444444444,23.94444444444444,2021-10-18 16:21:00,Asia/Singapore,2021-10-19 11:46:00
1634615520000,30.222222222222225,70,761.7714,759.6124,32.5,1,64,267,0.402336,0.983488,0.983488,0.0,8.3058,2.794,8.3058,64.9986,202.8952,880.21,8,1,39.644444444444446,24.78888888888889,35.61111111111111,24.111111111111114,2021-10-18 16:21:00,Asia/Singapore,2021-10-19 11:52:00
1634615580000,30.11111111111111,70,762.0762,759.9172,32.5,1,64,151,0.0,0.0,0.983488,0.0,8.3058,2.794,8.3058,64.9986,202.8952,890.97,8,1,39.644444444444446,24.78888888888889,35.33333333333333,24.0,2021-10-18 16:21:00,Asia/Singapore,2021-10-19 11:53:00
1634615580000,30.11111111111111,70,762.0762,759.9172,32.5,1,64,151,0.0,0.0,0.983488,0.0,8.3058,2.794,8.3058,64.9986,202.8952,890.97,8,1,39.644444444444446,24.78888888888889,35.33333333333333,24.0,2021-10-18 16:21:00,Asia/Singapore,2021-10-19 11:53:00
